Term,Description
RECIDIVISM,"Repeated criminal behavior.
    "
PROCRASTINATION,"The deferment of actions or tasks to a later time, or to infinity.
    "
INDOCHINA,"Area in Southeastern Asia that comprises CAMBODIA, LAOS, and VIETNAM.
    "
WILDFIRES,"Fires that occur outdoors in the natural environment caused by natural forces or human activity.
    "
NECTINS,"A family of calcium-independent cell adhesion molecules of the immunoglobulin superfamily. They are expressed by most cell types and mediate both homotypic and heterotypic cell-cell adhesion. Nectins function in a variety of morphogenetic and developmental processes that include organogenesis of the eye, ear, tooth, and cerebral cortex; they also play roles in viral infection and cell proliferation.
    "
STEREOLITHOGRAPHY,"A 3D printing technology where a computer-controlled moving laser beam is used to build up the required structure, layer by layer, from liquid POLYMERS that harden on contact with laser light (photopolymerization).
    "
LEPISMA,"A small nocturnal wingless insect with tapering physical outline.
    "
COMPOSTING,"A process of waste disposal involving the conversion of green waste (i.e. leaves, organic matter, food waste, manure) into soil-enhancing matter.
    "
CITRULLINATION,"Conversion of ARGININE residues in proteins into CITRULLINE residues by PROTEIN-ARGININE DEIMINASES.
    "
MULTIMORBIDITY,"The complex interactions of several co-existing diseases.
    "
DAPHNIPHYLLUM,"Broad-leaved evergreen shrub or small tree comprising several species. It is the only genus of the family DAPHNIPHYLLACEAE, class MAGNOLIOPSIDA.
    "
MENTALIZATION,"The mental process by which an individual implicitly and explicitly interprets the actions of self and others as meaningful on the basis of intentional mental states such as personal desires, needs, feelings, beliefs, and reasons.
    "
SYNDEMIC,"Synergistically-interacting health conditions producing excess disease occurrence in a population.
    "
SAXIFRAGALES,"Order of dicotyledonous flowering plants consisting of 16 families, 112 genera, and nearly 2,500 species.
    "
DAPHNIPHYLLACEAE,"Vascular plants of the order SAXIFRAGALES, class MAGNOLIOPSIDA, of which the sole genus is DAPHNIPHYLLUM.
    "
BRUGMANSIA,"A genus of solanaceae that refers to small to mid-size trees with large, strong-smelling, trumpet-shaped flowers hanging downward. Most parts of the plant contain ATROPINE, SCOPOLAMINE HYDROBROMIDE and HYOSCYAMINE.
    "
MALPIGHIALES,"Order of flowering plants which includes many tropical species. Well-characterized members include SALICACEAE (willow family), VIOLACEAE (violet family), PASSIFLORACEAE (passion-flower family), EUPHORBIACEAE (spurge or croton family), RHIZOPHORACEAE (mangrove family), and ERYTHROXYLACEAE (coca family).
    "
FLACOURTIA,"A genus of flowering plants in the family SALICACEAE, order MALPHIGIALES. An example is the willow, also known as salix or saules (French).
    "
DICENTRA,"A genus of herbaceous plants with asymmetrically-shaped flowers and finely divided leaves, native to east Asia and North America.
    "
DESULFOVIBRIONALES,"An order of bacteria within the class DELTAPROTEOBACTERIA, of the phylum PROTEOBACTERIA, which comprises four families.
    "
MAESA,"A genus of flowering plants in the family PRIMULACEAE, order ERICALES.
    "
MYRSINE,"A genus of flowering plants in the family PRIMULACEAE, found worldwide but primarily in tropical and subtropical regions.
    "
RANUNCULALES,"An order of flowering plants also known as the buttercup family.
    "
SOLANALES,"An order of flowering plants comprising tropical and temperate species, major crop plants such as potatoes, tomatoes, bell peppers, eggplants, tobacco, and the garden petunia. Its largest family is the SOLANACEAE.
    "
AUSTROBAILEYALES,"Order of woody flowering plants which grow as trees and shrubs that include the genera, Illicium and Schisandra.
    "
PINEALECTOMY,"Surgical removal of the PINEAL GLAND including resection of pineal tumor (PINEALOMA) and CYSTS.
    "
UNESCO,"An operating body of the UNITED NATIONS, responsible for coordinating international cooperation in education, science, culture and communication.
    "
PREPRINT,"Scientific manuscript made available prior to PEER REVIEW.
    "
RICKETTSIALES,"Order in class ALPHAPROTEOBACTERIA that are endosymbionts in eukaryotic cells. High morbidity and mortality are frequently associated with Rickettsiales transmitted by INSECT VECTORS.
    "
SAPORINS,"Type 1 ribosome-inactivating proteins derived from SAPONARIA OFFICINALIS that function through endohydrolysis of the N-glycosidic bond at single ADENOSINE residues of 28S RIBOSOMAL RNA. They are used as IMMUNOTOXINS.
    "
SURVIVIN,"An apoptosis inhibitory protein that contains a single baculoviral IAP repeat (BIR) domain. It associates with MICROTUBULES and functions to regulate cell proliferation as a component of the chromosome passage protein complex (CPC), performing essential roles for localization of the complex, chromosome alignment, segregation during MITOSIS and CYTOKINESIS, and assembly of the MITOTIC SPINDLE. It is expressed by fetal kidney and liver cells and highly expressed in ADENOCARCINOMA and high-grade LYMPHOMA.
    "
APIUM,"A genus comprising several species of flowering plants with global distribution in the family APIACEAE.
    "
CHLOROPHYCEAE,"A class of green algae in the subdivision CHLOROPHYTINA distinguished by its ultrastructural morphology. Some species have distinct arrangement of flagella.
    "
SUGAMMADEX,"A gamma-cyclodextrin that functions as a reversal agent for the neuromuscular blocker ROCURONIUM BROMIDE.
    "
ROCURONIUM,"An androstanol non-depolarizing neuromuscular blocking agent. It has a mono-quaternary structure and is a weaker nicotinic antagonist than PANCURONIUM.
    "
MALVALES,"An order of mostly woody plants in the superorder ROSANAE. Members of the MALVALES grow in various habitats around the world.
    "
DOCETAXEL,"A semisynthetic analog of PACLITAXEL used in the treatment of locally advanced or metastatic BREAST NEOPLASMS and NON-SMALL CELL LUNG CANCER.
    "
CLOPIDOGREL,"A ticlopidine analog and platelet purinergic P2Y receptor antagonist that inhibits adenosine diphosphate-mediated PLATELET AGGREGATION. It is used to prevent THROMBOEMBOLISM in patients with ARTERIAL OCCLUSIVE DISEASES; MYOCARDIAL INFARCTION; STROKE; or ATRIAL FIBRILLATION.
    "
SULFANILAMIDE,"A short-acting sulfonamide used as an anti-infective agent. It has lower anti-bacterial activity than SULFAMETHOXAZOLE.
    "
IRINOTECAN,"A semisynthetic camptothecin derivative that inhibits DNA TOPOISOMERASE I to prevent nucleic acid synthesis during S PHASE. It is used as an antineoplastic agent for the treatment of COLORECTAL NEOPLASMS and PANCREATIC NEOPLASMS.
    "
MYRTALES,"Order of flowering plants distributed throughout the tropics and warmer regions of the world. The majority of these species belong to two families, Melastomataceae and Myrtaceae. Myrtales includes many trees (notably Eucalyptus), shrubs, such as the classic myrtle, several food, spices, and ornamental plants.
    "
SEVOFLURANE,"A non-explosive inhalation anesthetic used in the induction and maintenance of general anesthesia. It does not cause respiratory irritation and may also prevent PLATELET AGGREGATION.
    "
OXALIPLATIN,"An organoplatinum complex in which the platinum atom is complexed with 1,2-diaminocyclohexane, and with an oxalate ligand which is displaced to yield active oxaliplatin derivatives. These derivatives form inter- and intra-strand DNA crosslinks that inhibit DNA replication and transcription. Oxaliplatin is an antineoplastic agent that is often administered with FLUOROURACIL and FOLINIC ACID in the treatment of metastatic COLORECTAL NEOPLASMS.
    "
OLANZAPINE,"A benzodiazepine derivative that binds SEROTONIN RECEPTORS; MUSCARINIC RECEPTORS; HISTAMINE H1 RECEPTORS; ADRENERGIC ALPHA-1 RECEPTORS; and DOPAMINE RECEPTORS. It is an antipsychotic agent used in the treatment of SCHIZOPHRENIA; BIPOLAR DISORDER; and MAJOR DEPRESSIVE DISORDER; it may also reduce nausea and vomiting in patients undergoing chemotherapy.
    "
PROGRANULINS,"Cysteine-rich, precursor glycoproteins encoded by the granulin gene (GRN). They contain granulin-repeats separated by linker sequences that are cleaved by a variety of proteases to release the individual GRANULIN PEPTIDES. The mammalian progranulin is composed of a half-granulin repeat followed by 7 granulin repeats. The mammalian GRANULINS are named PARAGRANULIN and granulin 1-7 for their order in the progranulin propeptide. Progranulin has growth-factor like effects and is expressed over a broad range of tissues. Under-expression of progranulin is linked to neurodegenerative diseases including FRONTOTEMPORAL DEMENTIA and NEURONAL CEROID LIPOFUSCINOSIS, while over-expression is linked to metabolic diseases including OBESITY, and INSULIN RESISTANCE.
    "
ROSIGLITAZONE,"A thiazolidinedione that functions as a selective agonist for PPAR GAMMA. It improves INSULIN SENSITIVITY in adipose tissue, skeletal muscle, and the liver of patients with TYPE 2 DIABETES MELLITUS.
    "
GRANULINS,"Small, cysteine-rich peptides generated by the proteolytic cleavage of progranulin. Granulin peptides are each composed of a granulin-motif, while paragranulin is composed of a half-granulin motif. The mammalian granulins are named granulin 1-7 for their sequence order in the progranulin propeptide, and are alternately named granulin G, F, B, A, C, D, and E; or epithelin 7, 6, 2, 1, 3, 4, and 5, i.e. granulin 1 aka granulin G aka epithelin 7, etc.
    "
PARAGRANULIN,"A granulin composed of the half granulin repeat.
    "
GEFITINIB,"A selective tyrosine kinase inhibitor for the EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) that is used for the treatment of locally advanced or metastatic NON-SMALL CELL LUNG CANCER.
    "
SORAFENIB,"A niacinamide and phenylurea derivative that inhibits multiple intracellular and cell surface kinases thought to be involved in ANGIOGENESIS, including RAF KINASES and VEGF RECEPTORS. It is used in the treatment of advanced RENAL CELL CARCINOMA and HEPATOCELLULAR CARCINOMA, and for treatment of THYROID CARCINOMA refractory to radioactive iodine therapy.
    "
NEUROLYMPHOMATOSIS,"Infiltration of the nervous system by malignant lymphoma cells.
    "
RESVERATROL,"A stilbene and non-flavonoid polyphenol produced by various plants including grapes and blueberries. It has anti-oxidant, anti-inflammatory, cardioprotective, anti-mutagenic, and anti-carcinogenic properties. It also inhibits platelet aggregation and the activity of several DNA HELICASES in vitro.
    "
WORTMANNIN,"An androstadiene metabolite produced by the fungi PENICILLIUM funiculosum that inhibits PHOSPHATIDYLINOSITOL-3-KINASES and alloantigen-specific activation of T-LYMPHOCYTES in human tumor cell lines. It is widely used in CELL BIOLOGY research and has broad therapeutic potential.
    "
DISPENSATORY,"Systematic description of the drugs and preparations used generally or in a specific setting.
    "
TEMOZOLOMIDE,"A dacarbazine derivative that is used as an alkylating antineoplastic agent for the treatment of MALIGNANT GLIOMA and MALIGNANT MELANOMA.
    "
PIOGLITAZONE,"A thiazolidinedione and PPAR GAMMA agonist that is used in the treatment of TYPE 2 DIABETES MELLITUS.
    "
GABAPENTIN,"A cyclohexane-gamma-aminobutyric acid derivative that is used for the treatment of PARTIAL SEIZURES; NEURALGIA; and RESTLESS LEGS SYNDROME.
    "
REMIFENTANIL,"A piperidine-propionate derivative and opioid analgesic structurally related to FENTANYL. It functions as a short-acting MU OPIOID RECEPTOR agonist, and is used as an analgesic during induction or maintenance of general anesthesia, following surgery, during childbirth, and in mechanically ventilated patients under intensive care.
    "
DECITABINE,"An azacitidine derivative and antineoplastic antimetabolite. It inhibits DNA methyltransferase to re-activate silent genes, limiting METASTASIS and NEOPLASM DRUG RESISTANCE. Decitabine is used in the treatment of MYELODISPLASTIC SYNDROMES, and ACUTE MYELOID LEUKEMIA.
    "
SUNITINIB,"An indole and pyrrole derivative that inhibits VEGFR-2 and PDGFR BETA RECEPTOR TYROSINE KINASES. It is used as an antineoplastic agent for the treatment of GASTROINTESTINAL STROMAL TUMORS, and for treatment of advanced or metastatic RENAL CELL CARCINOMA.
    "
ROPIVACAINE,"An anilide used as a long-acting local anesthetic. It has a differential blocking effect on sensory and motor neurons.
    "
LAMOTRIGINE,"A phenyltriazine compound, sodium and calcium channel blocker that is used for the treatment of SEIZURES and BIPOLAR DISORDER.
    "
BECAPLERMIN,"A recombinant human platelet-derived growth factor B-chain dimer used to promote WOUND HEALING by stimulating PHYSIOLOGIC ANGIOGENESIS.
    "
CLAY,"A naturally-occurring rock or soil constituent characterized by particles with a diameter of less than 0.005 mm. It is composed primarily of hydrous aluminum silicates, trace amounts of metal OXIDES, and organic matter.
    "
LIMONENE,"A naturally-occurring class of MONOTERPENES which occur as a clear colorless liquid at room temperature. Limonene is the major component in the oil of oranges which has many uses, including as flavor and fragrance. It is recognized as safe in food by the Food and Drug Administration (FDA).
    "
CYBERBULLYING,"Bullying that takes place over digital devices like cell phones and computers. It includes sending, posting, or sharing negative, harmful, false, or mean content about someone else. It can include sharing personal or private information about someone else causing embarrassment or humiliation. (from https://www.stopbullying.gov)
    "
VINORELBINE,"A vinca alkaloid related to VINBLASTINE that is used as a first-line treatment for NON-SMALL CELL LUNG CANCER, or for advanced or metastatic BREAST CANCER refractory to treatment with ANTHRACYCLINES.
    "
TOPIRAMATE,"A sulfamate-substituted fructose analog that was originally identified as a hypoglycemic agent. It is used for the treatment of EPILEPSY and MIGRAINE DISORDERS, and may also promote weight loss.
    "
MELOXICAM,"A benzothiazine and thiazole derivative that acts as a NSAID and cyclooxygenase-2 (COX-2) inhibitor. It is used in the treatment of RHEUMATOID ARTHRITIS; OSTEOARTHRITIS; and ANKYLOSING SPONDYLITIS.
    "
SLEEPINESS,"Compelling urge to sleep.
    "
CARVEDILOL,"A carbazole and propanol derivative that acts as a non-cardioselective beta blocker and vasodilator. It has blocking activity for ALPHA 1 ADRENERGIC RECEPTORS and, at higher doses, may function as a blocker of CALCIUM CHANNELS; it also has antioxidant properties. Carvedilol is used in the treatment of HYPERTENSION; ANGINA PECTORIS; and HEART FAILURE. It can also reduce the risk of death following MYOCARDIAL INFARCTION.
    "
CIONA,"A genus of SEA SQUIRTS in the family Cionidae.
    "
DONEPEZIL,"An indan and piperidine derivative that acts as a selective and reversible inhibitor of ACETYLCHOLINESTERASE. Donepezil is highly selective for the central nervous system and is used in the management of mild to moderate DEMENTIA in ALZHEIMER DISEASE.
    "
MOXIFLOXACIN,"A fluoroquinolone that acts as an inhibitor of DNA TOPOISOMERASE II and is used as a broad-spectrum antibacterial agent.
    "
FULVESTRANT,"An estradiol derivative and estrogen receptor antagonist that is used for the treatment of estrogen receptor-positive, locally advanced or metastatic breast cancer.
    "
PAMIDRONATE,"An aminobisphosphonate that inhibits BONE RESORPTION and is used for the treatment of osteolytic lesions, bone pain, and severe HYPERCALCEMIA associated with malignancies.
    "
LENALIDOMIDE,"A phthalimide and piperidone derivative that has immunomodulatory and antiangiogenic properties. It is used for the treatment of transfusion-dependent anemia in MYELODYSPLASTIC SYNDROMES, and for the treatment of MULTIPLE MYELOMA, and relapsed or refractory MANTLE CELL LYMPHOMA.
    "
EXENATIDE,"A synthetic form of exendin-4, a 39-amino acid peptide isolated from the venom of the GILA MONSTER lizard (Heloderma suspectum). Exenatide increases CYCLIC AMP levels in pancreatic acinar cells and acts as a GLUCAGON-LIKE PEPTIDE-1 RECEPTOR (GLP-1) agonist and incretin mimetic, enhancing insulin secretion in response to increased glucose levels; it also suppresses inappropriate glucagon secretion and slows gastric emptying. It is used as an anti-diabetic and anti-obesity agent.
    "
IMIQUIMOD,"A topically-applied aminoquinoline immune modulator that induces interferon production. It is used in the treatment of external genital and perianal warts, superficial CARCINOMA, BASAL CELL; and ACTINIC KERATOSIS.
    "
LYCOPENE,"A carotenoid and red pigment produced by tomatoes, other red fruits and vegetables, and photosynthetic algae. It is a key intermediate in the biosynthesis of other carotenoids, and has antioxidant, anti-carcinogenic, radioprotective, and anti-inflammatory properties.
    "
ABCIXIMAB,"A Fab fragment of the chimeric monoclonal antibody 7E3 that binds to the glycoprotein IIb-IIIa receptor of human platelets, and blocks PLATELET GLYCOPROTEIN GPIIB-IIIA COMPLEX, potently inhibiting PLATELET AGGREGATION. It is used in treatment of refractory unstable angina, and for prevention of ischemic complications in patients undergoing percutaneous coronary procedures such as ANGIOPLASTY; ATHERECTOMY; or stenting.
    "
RIMONABANT,"A pyrazole and piperidine derivative that acts as a selective cannabinoid type-1 receptor (CB1 RECEPTOR) antagonist. It inhibits the proliferation and maturation of ADIPOCYTES, improves lipid and glucose metabolism, and regulates food intake and energy balance. It is used in the management of OBESITY.
    "
CETRIMONIUM,"Cetyltrimethylammonium compound whose salts and derivatives are used primarily as topical antiseptics.
    "
LEVETIRACETAM,"A pyrrolidinone and acetamide derivative that is used primarily for the treatment of SEIZURES and some movement disorders, and as a nootropic agent.
    "
TROGLITAZONE,"A chroman and thiazolidinedione derivative that acts as a PEROXISOME PROLIFERATOR-ACTIVATED RECEPTORS (PPAR) agonist. It was formerly used in the treatment of TYPE 2 DIABETES MELLITUS, but has been withdrawn due to hepatotoxicity.
    "
LETROZOLE,"A triazole and benzonitrile derivative that is a selective non-steroidal aromatase inhibitor, similar to ANASTROZOLE. It is used in the treatment of metastatic or locally advanced breast cancer in postmenopausal women.
    "
TERBINAFINE,"A naphthalene derivative that inhibits fungal SQUALENE EPOXIDASE and is used to treat DERMATOMYCOSES of the skin and nails.
    "
BOSENTAN,"A sulfonamide and pyrimidine derivative that acts as a dual endothelin receptor antagonist used to manage PULMONARY HYPERTENSION and SYSTEMIC SCLEROSIS.
    "
PYROLYSIS,"High temperature decomposition without addition of extra air or oxygen. It yields syngas, bio-oil and bio-char.
    "
BIOMINERALIZATION,"Process by which living organisms produce MINERALS that accumulate into hardened tissues (e.g., bones, teeth and shells), and cellular nanostructures that sequester away into macromolecules. Biosynthesized minerals include CALCIUM CARBONATE; FLUOROAPATITE; HYDROXYAPATITE; and MAGNETITE.
    "
ARTESUNATE,"A water-soluble, semi-synthetic derivative of the sesquiterpene lactone artemisinin with anti-malarial, anti-schistosomiasis, antiviral, and potential anti-neoplastic activities
    "
TELMISARTAN,"A biphenyl compound and benzimidazole derivative that acts as an angiotensin II type 1 receptor antagonist. It is used in the management of HYPERTENSION.
    "
ZOLPIDEM,"An imidazopyridine derivative and short-acting GABA-A receptor agonist that is used for the treatment of INSOMNIA.
    "
DESFLURANE,"A fluorinated ether that is used as a volatile anesthetic for maintenance of general anesthesia.
    "
CASPOFUNGIN,"A cyclic lipopeptide echinocandin and beta-(1,3)-D-glucan synthase inhibitor that is used to treat internal or systemic MYCOSES.
    "
VORINOSTAT,"A hydroxamic acid and anilide derivative that acts as a HISTONE DEACETYLASE inhibitor. It is used in the treatment of CUTANEOUS T-CELL LYMPHOMA and SEZARY SYNDROME.
    "
LATANOPROST,"A prostaglandin F analog used to treat OCULAR HYPERTENSION in patients with GLAUCOMA.
    "
LEFLUNOMIDE,"An isoxazole derivative that inhibits dihydroorotate dehydrogenase, the fourth enzyme in the pyrimidine biosynthetic pathway. It is used an immunosuppressive agent in the treatment of RHEUMATOID ARTHRITIS and PSORIATIC ARTHRITIS.
    "
FLUVASTATIN,"An indole-heptanoic acid derivative that inhibits HMG COA REDUCTASE and is used to treat HYPERCHOLESTEROLEMIA. In contrast to other statins, it does not appear to interact with other drugs that inhibit CYP3A4.
    "
LAPATINIB,"A quinazoline derivative that inhibits EPIDERMAL GROWTH FACTOR RECEPTOR and HER2 (RECEPTOR, ERBB-2) tyrosine kinases. It is used for the treatment of advanced or metastatic breast cancer, where tumors overexpress HER2.
    "
VERTEPORFIN,"A benzoporphyrin derivative that is used in PHOTOCHEMOTHERAPY to treat wet type MACULAR DEGENERATION.
    "
ANASTROZOLE,"A nitrile and triazole derivative that acts as a selective nonsteroidal aromatase inhibitor. It is used in the treatment of ESTROGEN NUCLEAR RECEPTOR-positive breast cancer in postmenopausal women.
    "
SILYBIN,"The major active component of silymarin flavonoids extracted from seeds of the MILK THISTLE, Silybum marianum; it is used in the treatment of HEPATITIS; LIVER CIRRHOSIS; and CHEMICAL AND DRUG INDUCED LIVER INJURY, and has antineoplastic activity; silybins A and B are diastereomers.
    "
PANTOPRAZOLE,"2-pyridinylmethylsulfinylbenzimidazole proton pump inhibitor that is used in the treatment of GASTROESOPHAGEAL REFLUX and PEPTIC ULCER.
    "
ORLISTAT,"A lactone derivative of LEUCINE that acts as a pancreatic lipase inhibitor to limit the absorption of dietary fat; it is used in the management of obesity.
    "
CIDOFOVIR,"An acyclic nucleoside phosphonate that acts as a competitive inhibitor of viral DNA polymerases. It is used in the treatment of RETINITIS caused by CYTOMEGALOVIRUS INFECTIONS and may also be useful for treating HERPESVIRUS INFECTIONS.
    "
IRBESARTAN,"A spiro compound, biphenyl and tetrazole derivative that acts as an angiotensin II type 1 receptor antagonist. It is used in the management of HYPERTENSION, and in the treatment of kidney disease.
    "
CILOSTAZOL,"A quinoline and tetrazole derivative that acts as a phosphodiesterase type 3 inhibitor, with anti-platelet and vasodilating activity. It is used in the treatment of PERIPHERAL VASCULAR DISEASES; ISCHEMIC HEART DISEASE; and in the prevention of stroke.
    "
MODAFINIL,"A benzhydryl acetamide compound, central nervous system stimulant, and CYP3A4 inducing agent that is used in the treatment of NARCOLEPSY and SLEEP WAKE DISORDERS.
    "
TAMSULOSIN,"A sulfonamide derivative and adrenergic alpha-1 receptor antagonist that is used to relieve symptoms of urinary obstruction caused by BENIGN PROSTATIC HYPERPLASIA.
    "
ENROFLOXACIN,"A fluoroquinolone antibacterial and antimycoplasma agent that is used in veterinary practice.
    "
POLIDOCANOL,"An alkyl polyglycol ether of LAURYL ALCOHOL, chemically defined as an alcohol ethoxylate having an average alkyl chain of 12–14 carbon atoms, and an ethylene oxide chain of 9 ethylene oxide units. It is used as a detergent, and medically as a local anesthetic, and as a sclerosing agent for the treatment of ESOPHAGEAL AND GASTRIC VARICES and VARICOSE VEINS.
    "
FONDAPARINUX,"Synthetic pentasaccharide that mediates the interaction of HEPARIN with ANTITHROMBINS and inhibits FACTOR Xa; it is used for prevention of VENOUS THROMBOEMBOLISM after surgery.
    "
LIPOGLYCOPEPTIDES,"Glycopeptides that have an additional lipophilic side chains. Several semisynthetic lipoglycopeptide antibiotics are derived from naturally occurring lipoglycopeptide and glycopeptide antibiotics.
    "
NABUMETONE,"A butanone non-steroidal anti-inflammatory drug and cyclooxygenase-2 (COX2) inhibitor that is used in the management of pain associated with OSTEOARTHRITIS and RHEUMATOID ARTHRITIS.
    "
OXAPROZIN,"An oxazole-propionic acid derivative, cyclooxygenase inhibitor, and non-steroidal anti-inflammatory drug that is used in the treatment of pain and inflammation associated with of OSTEOARTHRITIS; RHEUMATOID ARTHRITIS; and ARTHRITIS, JUVENILE.
    "
TAPENTADOL,"An opioid analgesic, MU OPIOID RECEPTOR agonist, and noradrenaline reuptake inhibitor that is used in the treatment of moderate to severe pain, and of pain associated with DIABETIC NEUROPATHIES.
    "
ACAMPROSATE,"Structural analog of taurine that is used for the prevention of relapse in individuals with ALCOHOLISM.
    "
SIMENDAN,"A hydrazone and pyridazine derivative; the levo-form is a phosphodiesterase III inhibitor, calcium-sensitizing agent, and inotropic agent that is used in the treatment of HEART FAILURE.
    "
CABERGOLINE,"An ergoline derivative and dopamine D2-agonist that inhibits PROLACTIN secretion. It is used in the management of HYPERPROLACTINEMIA, and to suppress lactation following childbirth for medical reasons. Cabergoline is also used in the management of PARKINSON DISEASE.
    "
TIROFIBAN,"Tyrosine analog and PLATELET GLYCOPROTEIN GPIIB-IIIA COMPLEX antagonist that inhibits PLATELET AGGREGATION and is used in the treatment of ACUTE CORONARY SYNDROME.
    "
VALACYCLOVIR,"A prodrug of acyclovir that is used in the treatment of HERPES ZOSTER and HERPES SIMPLEX VIRUS INFECTION of the skin and mucous membranes, including GENITAL HERPES.
    "
VEMURAFENIB,"An indole sulfonamide compound and inhibitor of BRAF KINASES that is used for the treatment of unresectable or metastatic MELANOMA.
    "
TICAGRELOR,"An adenosine triphosphate analogue and reversible P2Y12 PURINORECEPTOR antagonist that inhibits ADP-mediated PLATELET AGGREGATION. It is used for the prevention of THROMBOEMBOLISM by patients with ACUTE CORONARY SYNDROME or a history of MYOCARDIAL INFARCTION.
    "
PRAMIPEXOLE,"A benzothiazole derivative and dopamine agonist with antioxidant properties that is used in the treatment of PARKINSON DISEASE and RESTLESS LEGS SYNDROME.
    "
PIPERAZINE,"An anti-nematodal agent effective against the intestinal nematodes ASCARIS LUMBRICOIDES (roundworm) and ENTEROBIUS VERMICULARIS (pinworm, threadworm).  It produces a neuromuscular block leading to flaccid muscle paralysis in susceptible worms, which are then dislodged from the gut and expelled in feces.
    "
CEFDINIR,"A third-generation oral cephalosporin antibacterial agent that is used to treat bacterial infections of the respiratory tract and skin.
    "
TROPISETRON,"An indole derivative and 5-HT3 RECEPTOR antagonist that is used for the prevention of nausea and vomiting.
    "
EPTIFIBATIDE,"Cyclic peptide that acts as a platelet glycoprotein IIB-IIIA antagonist, reversibly inhibiting the binding of FIBRINOGEN; VON WILLEBRAND FACTOR; and other adhesive molecules to the GPIIB-IIIA RECEPTORS of platelets. It is used in the management of UNSTABLE ANGINA and in patients undergoing coronary ANGIOPLASTY and stenting procedures.
    "
DEFERIPRONE,"A pyridone derivative and iron chelator that is used in the treatment of IRON OVERLOAD in patients with THALASSEMIA.
    "
PANITUMUMAB,"Recombinant human monoclonal antibody that binds to and inhibits the function of the EPIDERMAL GROWTH FACTOR RECEPTOR. It is used in the treatment of EGFR-expressing metastatic colorectal cancer that expresses wild-type ras gene (see GENES, RAS).
    "
EPLERENONE,"A spironolactone derivative and selective ALDOSTERONE RECEPTOR antagonist that is used in the management of HYPERTENSION and CONGESTIVE HEART FAILURE, post-MYOCARDIAL INFARCTION.
    "
ROSCOVITINE,"A purine derivative and competitive inhibitor of CYCLIN-DEPENDENT KINASES that has therapeutic potential as an antineoplastic and antiviral agent.
    "
CRIZOTINIB,"A piperidine and aminopyridine derivative that acts as an inhibitor of RECEPTOR PROTEIN-TYROSINE KINASES, including ANAPLASTIC LYMPHOMA KINASE (ALK) and HEPATOCYTE GROWTH FACTOR RECEPTOR (HGFR; c-Met). It is used in the treatment of NON-SMALL CELL LUNG CANCER.
    "
ARTEMETHER,"An artemisinin derivative that is used in the treatment of MALARIA.
    "
IVABRADINE,"A benzazepine derivative and selective HYPERPOLARIZATION-ACTIVATED CYCLIC NUCLEOTIDE-GATED CHANNELS inhibitor that lowers the heart rate. It is used in the treatment of CHRONIC STABLE ANGINA in patients unable to take BETA-ADRENERGIC BLOCKERS, and in the treatment of HEART FAILURE.
    "
MICAFUNGIN,"A cyclic lipo-hexapeptide echinocandin antifungal agent that is used for the treatment and prevention of CANDIDIASIS.
    "
BASILIXIMAB,"A chimeric murine-human monoclonal antibody that functions as an INTERLEUKIN 2 RECEPTOR antagonist by binding to the alpha chain (CD25 ANTIGEN) of the interleukin-2 receptor on the surface of activated T-LYMPHOCYTES. It is used in the prevention of acute graft rejection episodes in patients undergoing renal transplantation.
    "
EDARAVONE,"An antipyrine derivative that functions as a free radical scavenger and neuroprotective agent. It is used in the treatment of AMYOTROPHIC LATERAL SCLEROSIS and STROKE.
    "
LEVOBUPIVACAINE,"S-enantiomer of bupivacaine that is used as a local anesthetic and for regional nerve blocks, including EPIDURAL ANESTHESIA.
    "
ALITRETINOIN,"A retinoid that is used for the treatment of chronic hand ECZEMA unresponsive to topical CORTICOSTEROIDS. It is also used to treat cutaneous lesions associated with AIDS-related KAPOSI SARCOMA.
    "
ENFUVIRTIDE,"A synthetic 36-amino acid peptide that corresponds to the heptad repeat sequence of HIV-1 gp41. It blocks HIV cell fusion and viral entry and is used with other anti-retrovirals for combination therapy of HIV INFECTIONS and AIDS.
    "
DACLIZUMAB,"An anti-TAC (INTERLEUKIN-2 RECEPTOR ALPHA SUBUNIT) humanized monoclonal antibody (immunoglobulin G1 disulfide with human-mouse monoclonal clone 1H4 light chain, dimer) that is used in the treatment of ACUTE RELAPSING MULTIPLE SCLEROSIS.
    "
VALGANCICLOVIR,"A ganciclovir prodrug and antiviral agent that is used to treat CYTOMEGALOVIRUS RETINITIS in patients with AIDS, and for the prevention of CYTOMEGALOVIRUS INFECTIONS in organ transplant recipients who have received an organ from a CMV-positive donor.
    "
AMISULPRIDE,"A benzamide derivative that is used as an antipsychotic agent for the treatment of schizophrenia. It is also used as an antidepressive agent.
    "
QUINAPRIL,"A tetrahydroisoquinoline derivative and ANGIOTENSIN CONVERTING ENZYME inhibitor that is used in the treatment of HYPERTENSION and HEART FAILURE.
    "
TERLIPRESSIN,"An inactive peptide prodrug that is slowly converted in the body to lypressin. It is used to control bleeding of ESOPHAGEAL VARICES and for the treatment of HEPATORENAL SYNDROME.
    "
DEFERASIROX,"A triazole and benzoate derivative that acts as a selective iron chelator. It is used in the management of chronic IRON OVERLOAD due to blood transfusion or non-transfusion dependent THALASSEMIA.
    "
